BTyperDB_ID	Internal_ID	NCBI_BioSample	Collection_Year	Collection_Month	Collection_Day	Continent	Country	Region	City	Country_Code	Region_Code	Source_1	Source_2	Source_3	BTyper3_species(ANI)	BTyper3_subspecies(ANI)	BTyper3_Pseudo_Gene_Flow_Unit(ANI)	BTyper3_Closest_Type_Strain(ANI)	BTyper3_anthrax_toxin(genes)	BTyper3_emetic_toxin_cereulide(genes)	BTyper3_diarrheal_toxin_Nhe(genes)	BTyper3_diarrheal_toxin_Hbl(genes)	BTyper3_diarrheal_toxin_CytK(top_hit)	BTyper3_sphingomyelinase_Sph(gene)	BTyper3_capsule_Cap(genes)	BTyper3_capsule_Has(genes)	BTyper3_capsule_Bps(genes)	BTyper3_Bt(genes)	BTyper3_PubMLST_ST[clonal_complex](perfect_matches)	BTyper3_Adjusted_panC_Group(predicted_species)	BTyper3_final_taxon_names	GTDB_Species	Completeness	Contamination	N_Contigs	Total_Length	GC	N50	Largest_Contig	Ns_per_Kbp	Free_Text	Curator_Notes	Changelog
BTDB_2022-0000011.1	DRR062848	SAMD00053573	2011	Unknown	Unknown	Asia	Japan	Tokyo	Unknown	JPN	JP-13	Environmental	Environmental	Unspecified	mosaicus(93.06761932373047)	No subspecies	UnknownGeneFlowUnit5*(95.98576354980469)	wiedmannii(95.79070281982422)	0/3()	0/4()	3/3(nheA;nheB;nheC)	3/4(hblA;hblC;hblD)	0/1()	1/1(sph)	0/5()	0/3()	2/9(bpsE;bpsH)	0()	Unknown(unknown ST)	Group_II(mosaicus/luti)	B. mosaicus	Bacillus_A wiedmannii	98.68	0.45	32	5613324	35.12	437399	704061	0		None (Curator PM);Tokyo is both a city and a prefecture; changed City to NA (Curator LC)	v1
BTDB_2022-0000012.1	DRR062849	SAMD00053574	2011	Unknown	Unknown	Asia	Japan	Tochigi	Unknown	JPN	JP-09	Environmental	Environmental	Unspecified	mosaicus(93.1022720336914)	No subspecies	UnknownGeneFlowUnit11*(99.17219543457031)	wiedmannii(94.99102783203125)	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	0/1()	1/1(sph)	0/5()	0/3()	2/9(bpsE;bpsH)	0()	Unknown(unknown ST)	Group_II(mosaicus/luti)	B. mosaicus	Bacillus_A wiedmannii	99.67	0.5	47	5816035	35.04	294856	596836	0		None (Curator PM);Tochigi is both a city and a prefecture; changed City to NA (Curator LC)	v1
BTDB_2022-0000013.1	DRR062850	SAMD00053575	2012	Unknown	Unknown	Asia	Japan	Ibaraki	Unknown	JPN	JP-08	Environmental	Environmental	Unspecified	mosaicus(92.96530151367188)	No subspecies	wiedmannii(96.7772445678711)	wiedmannii(96.34793853759766)	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	0/1()	1/1(sph)	0/5()	0/3()	1/9(bpsE)	0()	Unknown(unknown ST)	Group_II(mosaicus/luti)	B. mosaicus	Bacillus_A wiedmannii	99.34	0.13	34	5423181	35.22	375877	828993	0		None (Curator PM);Ibaraki is a town and prefecture; changed City to NA (Curator LC)	v1
BTDB_2022-0000014.1	DRR062851	SAMD00053576	2012	Unknown	Unknown	Asia	Japan	Ibaraki	Unknown	JPN	JP-08	Environmental	Environmental	Unspecified	cereus s.s.(97.52974700927734)	No subspecies	frankland(97.52974700927734)	cereus(98.04878234863281)	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	1/1(cytK-2)	1/1(sph)	0/5()	0/3()	1/9(bpsE)	0()	1169[No clonal complex](7/7)	Group_IV(cereus_sensu_stricto)	B. cereus s.s.	Bacillus_A cereus	99.23	0.2	36	5198951	35.1	558735	818236	0		None (Curator PM);Ibaraki is a town and prefecture; changed City to NA (Curator LC)	v1
BTDB_2022-0000015.1	DRR062852	SAMD00053577	2012	Unknown	Unknown	Asia	Japan	Fukui	Unknown	JPN	JP-18	Environmental	Environmental	Unspecified	mosaicus(94.83161163330078)	No subspecies	cereus(96.21632385253906)	tropicus(96.22051239013672)	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	0/1()	1/1(sph)	0/5()	0/3()	1/9(bpsE)	0()	1168[No clonal complex](7/7)	Group_II(mosaicus/luti)	B. mosaicus	Bacillus_A tropicus	98.92	1.36	33	5615586	35.1	681034	932343	0		None (Curator PM);Fukui is both a city and a prefecture; changed City to NA (Curator LC)	v1
BTDB_2022-0000016.1	DRR062853	SAMD00053578	2010	Unknown	Unknown	Asia	Japan	Okinawa	Unknown	JPN	JP-47	Environmental	Environmental	Unspecified	mosaicus(93.57211303710938)	No subspecies	albus*(97.84471130371094)	albus(99.1919937133789)	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	0/1()	1/1(sph)	0/5()	0/3()	2/9(bpsE;bpsH)	0()	1149[No clonal complex](7/7)	Group_II(mosaicus/luti)	B. mosaicus	Bacillus_A albus	99.23	0.42	56	5717710	35.03	257959	658720	0		None (Curator PM);Okinawa is both a city and a prefecture; changed City to NA (Curator LC)	v1
BTDB_2022-0000017.1	DRR062854	SAMD00053579	2011	Unknown	Unknown	Asia	Japan	Hokkaido	Unknown	JPN	JP-01	Environmental	Environmental	Unspecified	toyonensis(99.34798431396484)	No subspecies	toyonensis(99.34798431396484)	toyonensis(99.34798431396484)	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	0/1()	1/1(sph)	0/5()	0/3()	1/9(bpsE)	0()	665[ST-111 complex](7/7)	Group_V(toyonensis)	B. toyonensis	Bacillus_A toyonensis	99.34	0.17	55	5867459	34.98	258939	822801	0		None (Curator PM);None (Curator LC)	v1
BTDB_2022-0000018.1	DRR062855	SAMD00053580	2006	Unknown	Unknown	Asia	Japan	Gifu	Unknown	JPN	JP-21	Unknown	Unknown	Unspecified	mosaicus(95.23809814453125)	cereus(99.88265991210938)	cereus(97.69181060791016)	paranthracis(97.5868911743164)	0/3()	4/4(cesA;cesB;cesC;cesD)	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	0/5()	0/3()	1/9(bpsE)	0()	26[No clonal complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. cereus biovar Emeticus; B. cereus biovar Emeticus; B. Emeticus	Bacillus_A paranthracis	98.77	0.49	75	5514779	35.3	195267	431939	0		None (Curator PM);Gifu is both a city and a prefecture; changed City to NA (Curator LC)	v1
BTDB_2022-0000019.1	DRR062856	SAMD00053581	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unspecified	mosaicus(95.38162994384766)	cereus(97.59740447998047)	cereus(98.82115173339844)	paranthracis(98.47561645507812)	0/3()	0/4()	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	2/5(capB;capC)	0/3()	1/9(bpsE)	0()	45[ST-205 complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. cereus; B. cereus	Bacillus_A paranthracis	99.23	0.45	88	5480257	35.27	121772	288620	0		None (Curator PM);None (Curator LC)	v1
BTDB_2022-0000020.1	DRR062857	SAMD00053582	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unspecified	mosaicus(95.4482421875)	cereus(97.75157928466797)	cereus(98.7654037475586)	paranthracis(98.48844909667969)	0/3()	0/4()	3/3(nheA;nheB;nheC)	0/4()	1/1(cytK-2)	1/1(sph)	0/5()	0/3()	1/9(bpsE)	0()	2622[ST-205 complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. cereus; B. cereus	Bacillus_A paranthracis	99.23	2.55	70	5990129	35.22	141738	787528	0		None (Curator PM);None (Curator LC)	v1
BTDB_2022-0000021.1	DRR062858	SAMD00053583	2006	Unknown	Unknown	Asia	Japan	Gifu	Unknown	JPN	JP-21	Unknown	Unknown	Unspecified	mycoides(98.65182495117188)	No subspecies	nitratireducens(99.86505126953125)	nitratireducens(99.39727020263672)	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	0/1()	1/1(sph)	5/5(capA;capB;capC;capD;capE)	0/3()	1/9(bpsE)	0()	932[No clonal complex](7/7)	Group_VIII(mycoides)	B. mycoides	Bacillus_A nitratireducens	98.35	0.58	68	5423508	35.29	177669	583520	0		None (Curator PM);Gifu is both a city and a prefecture; changed City to NA (Curator LC)	v1
BTDB_2022-0000022.1	DRR062859	SAMD00053584	2014	Unknown	Unknown	Asia	Japan	Aichi	Unknown	JPN	JP-23	Unknown	Unknown	Unspecified	cereus s.s.(97.41107940673828)	No subspecies	frankland(97.41107940673828)	cereus(98.08338165283203)	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	1/1(cytK-2)	1/1(sph)	0/5()	0/3()	1/9(bpsE)	0()	1274[No clonal complex](7/7)	Group_IV(cereus_sensu_stricto)	B. cereus s.s.	Bacillus_A cereus	99.07	0.52	43	5326438	35.05	330632	695196	0		None (Curator PM);None (Curator LC)	v1
BTDB_2022-0000023.1	DRR062860	SAMD00053585	2009	Unknown	Unknown	Asia	Japan	Tokyo	Unknown	JPN	JP-13	Unknown	Unknown	Unspecified	mosaicus(95.18132781982422)	cereus(99.9040298461914)	cereus(97.73051452636719)	paranthracis(97.5884017944336)	0/3()	4/4(cesA;cesB;cesC;cesD)	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	0/5()	0/3()	1/9(bpsE)	0()	26[No clonal complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. cereus biovar Emeticus; B. cereus biovar Emeticus; B. Emeticus	Bacillus_A paranthracis	98.77	0.8	159	5480047	35.29	90430	278492	0		None (Curator PM);Tokyo is both a city and a prefecture; changed City to NA (Curator LC)	v1
BTDB_2022-0000024.1	DRR062862	SAMD00053587	2011	Unknown	Unknown	Asia	Japan	Tokyo	Unknown	JPN	JP-13	Unknown	Unknown	Unspecified	mosaicus(95.22962951660156)	cereus(99.9303970336914)	cereus(97.72686004638672)	paranthracis(97.62635803222656)	0/3()	4/4(cesA;cesB;cesC;cesD)	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	0/5()	0/3()	1/9(bpsE)	0()	26[No clonal complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. cereus biovar Emeticus; B. cereus biovar Emeticus; B. Emeticus	Bacillus_A paranthracis	98.77	0.6	79	5482011	35.29	203242	464423	0		None (Curator PM);Tokyo is both a city and a prefecture; changed City to NA (Curator LC)	v1
BTDB_2022-0000025.1	DRR118317	SAMD00106223	2016	10	10	Africa	Zambia	Unknown	Unknown	ZMB	Unknown	Environmental	Environmental	Unspecified	mosaicus(99.9815673828125)	anthracis(99.97953796386719)	anthracis(98.56675720214844)	anthracis(99.98328399658203)	3/3(cya;lef;pagA)	0/4()	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	5/5(capA;capB;capC;capD;capE)	3/3(hasA;hasB;hasC)	1/9(bpsE)	0()	1[No clonal complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. anthracis biovar Anthracis; B. anthracis biovar Anthracis; B. Anthracis	Bacillus_A anthracis	99.15	0.15	39	5445072	35.1	289115	1393432	0		None (Curator PM);None (Curator LC)	v1
BTDB_2022-0000026.1	DRR118318	SAMD00106224	2016	10	10	Africa	Zambia	Unknown	Unknown	ZMB	Unknown	Environmental	Environmental	Unspecified	mosaicus(99.98125457763672)	anthracis(99.97923278808594)	anthracis(98.56089782714844)	anthracis(99.98318481445312)	3/3(cya;lef;pagA)	0/4()	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	5/5(capA;capB;capC;capD;capE)	3/3(hasA;hasB;hasC)	1/9(bpsE)	0()	1[No clonal complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. anthracis biovar Anthracis; B. anthracis biovar Anthracis; B. Anthracis	Bacillus_A anthracis	99.15	0.15	26	5446558	35.1	579974	1687671	0		None (Curator PM);None (Curator LC)	v1
BTDB_2022-0000027.1	DRR118319	SAMD00106225	2016	10	10	Africa	Zambia	Unknown	Unknown	ZMB	Unknown	Environmental	Environmental	Unspecified	mosaicus(99.96658325195312)	anthracis(99.97933197021484)	anthracis(98.52165985107422)	anthracis(99.98326110839844)	3/3(cya;lef;pagA)	0/4()	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	5/5(capA;capB;capC;capD;capE)	3/3(hasA;hasB;hasC)	1/9(bpsE)	0()	1[No clonal complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. anthracis biovar Anthracis; B. anthracis biovar Anthracis; B. Anthracis	Bacillus_A anthracis	99.15	0.15	31	5446788	35.1	579974	1341570	0		None (Curator PM);None (Curator LC)	v1
BTDB_2022-0000028.1	DRR125653	SAMD00113117	2012	Unknown	Unknown	Africa	Zambia	Unknown	Unknown	ZMB	Unknown	Animal_Mammal	Animal_Mammal:Unspecified	Unspecified	mosaicus(99.96904754638672)	anthracis(99.97798156738281)	anthracis(98.54017639160156)	anthracis(99.98040771484375)	3/3(cya;lef;pagA)	0/4()	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	5/5(capA;capB;capC;capD;capE)	3/3(hasA;hasB;hasC)	1/9(bpsE)	0()	1[No clonal complex](6/7)	Group_III(mosaicus)	B. mosaicus subsp. anthracis biovar Anthracis; B. anthracis biovar Anthracis; B. Anthracis	Bacillus_A anthracis	96.04	0.26	189	5244408	35.21	58639	192304	0		None (Curator PM);None (Curator LC)	v1
BTDB_2022-0000029.1	DRR125654	SAMD00113118	2012	Unknown	Unknown	Africa	Zambia	Unknown	Unknown	ZMB	Unknown	Environmental	Environmental	Unspecified	mosaicus(99.96560668945312)	anthracis(99.97867584228516)	anthracis(98.54784393310547)	anthracis(99.98279571533203)	3/3(cya;lef;pagA)	0/4()	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	5/5(capA;capB;capC;capD;capE)	3/3(hasA;hasB;hasC)	1/9(bpsE)	0()	1[No clonal complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. anthracis biovar Anthracis; B. anthracis biovar Anthracis; B. Anthracis	Bacillus_A anthracis	99.15	0.15	43	5449131	35.11	299595	1039082	0		None (Curator PM);None (Curator LC)	v1
BTDB_2022-0000030.1	DRR125655	SAMD00113119	2013	Unknown	Unknown	Africa	Zambia	Unknown	Unknown	ZMB	Unknown	Animal_Unspecified	Animal_Unspecified	Unspecified	mosaicus(99.97840881347656)	anthracis(99.9761734008789)	anthracis(98.47028350830078)	anthracis(99.97909545898438)	3/3(cya;lef;pagA)	0/4()	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	5/5(capA;capB;capC;capD;capE)	3/3(hasA;hasB;hasC)	1/9(bpsE)	0()	1[No clonal complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. anthracis biovar Anthracis; B. anthracis biovar Anthracis; B. Anthracis	Bacillus_A anthracis	99.23	0.15	42	5450634	35.1	348198	1182008	0		could be any animal (Curator PM);None (Curator LC)	v1
BTDB_2022-0000031.1	DRR125656	SAMD00113120	2013	Unknown	Unknown	Africa	Zambia	Unknown	Unknown	ZMB	Unknown	Animal_Unspecified	Animal_Unspecified	Unspecified	mosaicus(99.97821044921875)	anthracis(99.97686004638672)	anthracis(98.54718780517578)	anthracis(99.97955322265625)	3/3(cya;lef;pagA)	0/4()	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	5/5(capA;capB;capC;capD;capE)	3/3(hasA;hasB;hasC)	1/9(bpsE)	0()	1[No clonal complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. anthracis biovar Anthracis; B. anthracis biovar Anthracis; B. Anthracis	Bacillus_A anthracis	99.23	0.15	41	5451392	35.11	263357	789420	0		could be any animal (Curator PM);None (Curator LC)	v1
BTDB_2022-0000032.1	DRR125657	SAMD00113121	2013	Unknown	Unknown	Africa	Zambia	Unknown	Unknown	ZMB	Unknown	Animal_Unspecified	Animal_Unspecified	Unspecified	mosaicus(99.96919250488281)	anthracis(99.97034454345703)	anthracis(98.43590545654297)	anthracis(99.97985076904297)	3/3(cya;lef;pagA)	0/4()	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	5/5(capA;capB;capC;capD;capE)	3/3(hasA;hasB;hasC)	1/9(bpsE)	0()	1[No clonal complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. anthracis biovar Anthracis; B. anthracis biovar Anthracis; B. Anthracis	Bacillus_A anthracis	99.23	0.15	118	5439000	35.11	86551	274272	0		could be any animal (Curator PM);None (Curator LC)	v1
BTDB_2022-0000033.1	DRR128182	SAMD00115661	1980	Unknown	Unknown	Asia	Japan	Akita	Unknown	JPN	JP-05	Unknown	Unknown	Unspecified	mosaicus(99.99534606933594)	anthracis(99.99375915527344)	anthracis(98.52095031738281)	anthracis(99.98075103759766)	2/3(lef;pagA)	0/4()	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	5/5(capA;capB;capC;capD;capE)	3/3(hasA;hasB;hasC)	1/9(bpsE)	0()	1[No clonal complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. anthracis biovar Anthracis*; B. anthracis biovar Anthracis*; B. Anthracis*	Bacillus_A anthracis	99.23	0.15	298	5420561	35.19	38087	323768	0		None (Curator PM);Akita is both a city and a prefecture; changed City to NA (Curator LC)	v1
BTDB_2022-0000034.1	DRR128184	SAMD00115659	1982	Unknown	Unknown	Asia	Japan	Shizuoka	Nishiura	JPN	JP-22	Unknown	Unknown	Unspecified	mosaicus(99.9872817993164)	anthracis(99.98600006103516)	anthracis(98.51632690429688)	anthracis(99.98155975341797)	3/3(cya;lef;pagA)	0/4()	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	5/5(capA;capB;capC;capD;capE)	3/3(hasA;hasB;hasC)	1/9(bpsE)	0()	1[No clonal complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. anthracis biovar Anthracis; B. anthracis biovar Anthracis; B. Anthracis	Bacillus_A anthracis	98.92	0.15	40	5449152	35.1	302495	1634800	0		None (Curator PM);None (Curator LC)	v1
BTDB_2022-0000035.1	DRR128185	SAMD00115658	1982	Unknown	Unknown	Asia	Japan	Okinawa	Ginoza	JPN	JP-47	Unknown	Unknown	Unspecified	mosaicus(99.97225952148438)	anthracis(99.98563385009766)	anthracis(98.51781463623047)	anthracis(99.98091888427734)	3/3(cya;lef;pagA)	0/4()	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	5/5(capA;capB;capC;capD;capE)	3/3(hasA;hasB;hasC)	1/9(bpsE)	0()	1[No clonal complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. anthracis biovar Anthracis; B. anthracis biovar Anthracis; B. Anthracis	Bacillus_A anthracis	99.23	0.15	33	5448599	35.1	584433	970581	0		None (Curator PM);None (Curator LC)	v1
